entry_date,exit_date,trade_direction,asset1_position,asset2_position,asset1_entry_price,asset2_entry_price,asset1_exit_price,asset2_exit_price,entry_spread,exit_spread,entry_zscore,exit_zscore,gross_return,transaction_costs,net_return,half_life,mean_reversion_speed,exit_reason,hold_period,regime
2018-06-13,2018-08-14,Short,-0.13902483084257708,0.32077524040512906,121.51044464111328,57.41752624511719,123.1241455078125,59.11968231201172,-10.970355178026864,26.155498000105425,-0.5,-1.0,0.00766315943740146,0.1070888004071299,-0.09942564096972843,322.6258627961665,1.042446820220515e-05,Time Stop,43,calm_bullish
2018-09-26,2018-10-23,Short,-0.18874147718667492,0.45083249018319344,130.48768615722656,61.445125579833984,124.83484649658205,55.13557815551758,-16.281637616675255,36.08120590342446,-1.0,0.0,-0.03811769124959079,0.15112248141666082,-0.1892401726662516,,1.98395225546932e-06,Trailing Stop,19,calm_bullish
2018-12-10,2018-12-24,Long,0.1582155642137368,-0.17848407462030885,122.10924530029295,56.90388870239258,107.48576354980467,51.82558059692383,57.915574040346385,6.9396937138721455,1.0,0.0,-0.0030189173861733948,0.0835979738665828,-0.08661689125275619,151.03416086844996,5.930663031935245e-06,Trailing Stop,10,calm_bearish
2019-01-16,2019-03-20,Long,0.12887831977756034,-0.32384297201219325,116.63460540771484,57.2906379699707,136.4587860107422,66.46546936035156,-27.32421172065918,4.07574117071988,1.0,0.0,-0.02995673469156807,0.10904369495299003,-0.1390004296445581,140.12597733685337,0.2163364567737546,Time Stop,43,calm_bullish
2019-03-29,2019-05-31,Short,-0.19646378204835968,0.40067708206057495,140.31275939941406,66.9908676147461,141.8632354736328,73.24616241455078,3.688568005319695,70.60378925661253,-1.0,0.0,0.035242404417124173,0.16744069071749584,-0.13219828630037167,1374.4103990624922,1.71460319251672e-05,Time Stop,43,calm_bullish
2019-06-04,2019-08-05,Long,0.11977111137310248,-0.11187326205486536,138.21298217773438,72.08502197265625,142.21542358398438,69.55469512939453,70.88133215858998,88.25920170234441,1.0,0.0,0.007395365153477693,0.07414937851110467,-0.06675401335762698,3567.053646007116,6.292827132331792e-07,Time Stop,43,calm_bullish
2019-09-12,2019-11-12,Short,0.0,-0.0,143.45286560058594,69.87290954589844,148.8295440673828,71.93915557861328,124.30906182614649,166.11641503664194,1.0,0.0,0.0,0.0,0.0,44891.86856854745,0.07308550857997656,Time Stop,43,calm_bullish
2019-12-26,2020-02-27,Short,-0.15667298285671458,0.5229987901096145,152.83709716796875,73.33391571044922,141.70106506347656,68.83781433105469,-91.96292189876254,-12.678493685596152,-1.0,0.0,-0.02064952594379891,0.18075272286214908,-0.20140224880594798,64.59099167886474,2.6803204150808015e-06,Trailing Stop,42,calm_bearish
2020-03-09,2020-03-25,Short,-0.1933184724471258,0.41707800323649624,143.1582794189453,67.6163558959961,110.9540557861328,52.41793441772461,-2.7216995931153747,8.708968759765185,-1.0,0.0,-0.05026040272235939,0.14878240589366132,-0.1990428086160207,85.12542198042026,0.00023868157726420923,Signal Exit,12,calm_bearish
2020-04-24,2020-05-13,Long,0.19609043935812628,-0.3552982000501912,123.01883697509766,58.37689208984375,121.80602264404295,54.01456069946289,17.245170742623174,27.108439030725265,1.0,0.0,0.024617166564900667,0.13191044274836333,-0.10729327618346267,153.68164160142024,7.125293831589507e-07,Trailing Stop,13,calm_bearish
2020-05-21,2020-06-11,Long,0.1861922243805965,-0.3179420184200716,121.98704528808594,59.76059341430664,130.17697143554688,63.94675064086914,19.93979946278732,24.87328465212711,1.0,0.0,-0.00977094115523798,0.12942411276721194,-0.1391950539224499,153.70747478521338,0.002200914651408613,Trailing Stop,14,calm_bearish
2020-07-30,2020-09-30,Long,0.15350051784912938,-0.1891461627669677,124.83293914794922,64.81922149658203,127.83811950683594,70.90852355957031,44.961501634813985,176.1391292596181,1.0,0.0,-0.014073615939925437,0.09668628076107263,-0.11075989670099808,314.1852455082284,0.10594142887483755,Time Stop,43,calm_bullish
2020-10-09,2020-12-10,Short,-0.0,-0.0,134.72991943359375,72.95303344726562,158.4803009033203,81.80841827392578,150.65121120103538,-47.80972211199668,-1.0,0.0,0.0,0.0,0.0,47.72164059469231,0.0796437128455837,Time Stop,43,calm_bullish
2021-02-08,2021-04-12,Long,0.17923703544257344,-0.3247767555425412,154.13128662109375,82.6432876586914,175.74195861816406,86.44941711425781,4.3819964317995925,-45.357176013059814,0.5,0.0,0.010173171360580758,0.17106432388586518,-0.1608911525252844,54.90385462932375,2.4651885046123708e-05,Time Stop,43,calm_bullish
2021-04-29,2021-06-30,Long,0.18511464786694876,-0.5180204170369798,172.8339385986328,88.2532730102539,184.8147125244141,97.41658020019533,-74.13191643467215,91.90109333836753,0.5,0.0,-0.040953815564119186,0.24358016835600566,-0.28453398392012486,460.116587002387,3.301831480601749e-05,Time Stop,43,calm_bullish
2021-07-16,2021-07-20,Short,-0.17538547849165492,0.16088280535147947,192.64019775390625,102.2919464111328,189.02053833007807,100.28551483154295,98.80680034256187,93.49547372822272,-1.0,0.0,0.0001397707304516319,0.14929347162790366,-0.14915370089745203,488.92649427464744,0.00010233637680985058,Signal Exit,2,calm_bullish
2021-07-30,2021-09-30,Short,-0.1895555899664109,0.1933735872101991,194.31504821777344,103.16352081298828,186.87158203125,102.68865203857422,89.07362488450987,5.068790178961308,-1.0,1.0,0.006371037639052075,0.16809364452522355,-0.16172260688617146,86.8242888811213,0.05179795578640803,Time Stop,43,calm_bullish
2021-10-04,2021-12-03,Long,0.1783166727453104,-0.3101274832412944,188.81581115722656,105.15428924560548,214.88552856445312,109.98909759521484,5.931986702149686,-9.679895379620433,1.0,0.0,0.010360992405751017,0.20806283516841897,-0.19770184276266795,57.34176077935345,6.149345095615046e-06,Time Stop,43,calm_bullish
2021-12-22,2022-01-18,Long,0.16108269820931476,-0.3767206743913496,217.7777099609375,116.07614135742188,212.60438537597656,112.95458984375,-53.687088797846684,45.808039403038094,1.0,0.0,0.006304345318105636,0.23341158103844706,-0.22710723572034142,187.56871076568493,1.850880703461662e-06,Trailing Stop,17,calm_bullish
2022-01-21,2022-02-18,Long,0.14817913420666773,-0.2090844307578566,206.84893798828125,111.08164978027344,188.20237731933597,106.98611450195312,50.10997716023934,-45.092883493405,1.0,0.0,-0.0056488669509226,0.15619940434661372,-0.16184827129753632,97.9274755746288,1.5036588411398432e-06,Signal Exit,20,calm_bearish
