Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 14:31:00+00:00,AAPL,234.56500244140625,234.69000244140625,234.25999450683594,234.4600067138672,192518,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:32:00+00:00,AAPL,234.5,235.24000549316406,234.41009521484375,235.0,232601,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:33:00+00:00,AAPL,235.02999877929688,235.5500030517578,234.9499969482422,235.51010131835938,192941,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:34:00+00:00,AAPL,235.52000427246094,235.94000244140625,235.4499969482422,235.88999938964844,200548,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:35:00+00:00,AAPL,235.8769989013672,236.02999877929688,235.61000061035156,235.72999572753906,151627,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:36:00+00:00,AAPL,235.70669555664062,235.83909606933594,235.6300048828125,235.6750030517578,94709,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:37:00+00:00,AAPL,235.64999389648438,235.7100067138672,235.00999450683594,235.07000732421875,208731,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:38:00+00:00,AAPL,235.10000610351562,235.10899353027344,234.91000366210938,235.0,181730,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:39:00+00:00,AAPL,235.03500366210938,235.19700622558594,234.8699951171875,235.02000427246094,103530,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:40:00+00:00,AAPL,235.01699829101562,235.13999938964844,234.9600067138672,235.02999877929688,76471,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:41:00+00:00,AAPL,235.02999877929688,235.0800018310547,234.85000610351562,235.0,90112,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:42:00+00:00,AAPL,235.02000427246094,235.39999389648438,235.00999450683594,235.36500549316406,94256,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:43:00+00:00,AAPL,235.35740661621094,235.3867950439453,235.13999938964844,235.25,112454,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:44:00+00:00,AAPL,235.27000427246094,235.5699005126953,235.18499755859375,235.5449981689453,87449,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:45:00+00:00,AAPL,235.5449981689453,235.6300048828125,235.3300018310547,235.3885040283203,149584,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:46:00+00:00,AAPL,235.41000366210938,235.533203125,235.25999450683594,235.44000244140625,92755,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:47:00+00:00,AAPL,235.44000244140625,235.44000244140625,235.0,235.2100067138672,99421,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:48:00+00:00,AAPL,235.22000122070312,235.25999450683594,235.0,235.25999450683594,109027,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:49:00+00:00,AAPL,235.25999450683594,235.64999389648438,235.24000549316406,235.62399291992188,123489,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:50:00+00:00,AAPL,235.6300048828125,235.6999969482422,235.47500610351562,235.52999877929688,83419,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:51:00+00:00,AAPL,235.49400329589844,235.57550048828125,235.3101043701172,235.52000427246094,63736,2025-01-15 05:14:03.009777+00:00
