,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AMGN|||CDW,AMGN,CDW,0.23194867470794667,0.1371081793768745,-0.04905780240215756,0.4962446822338016,4.2,5.800000000000001
AMGN|||CEG,AMGN,CEG,0.1191502425391017,0.13113783785434846,-0.09723731710937093,0.4268107473760421,18.8,5.800000000000001
AMGN|||CHTR,AMGN,CHTR,0.27436895368311587,0.17298421753221604,-0.03551876598296812,0.6051103705683093,1.2,5.800000000000001
AMGN|||CMCSA,AMGN,CMCSA,0.3767914564549767,0.17047477435156375,0.15834340166384378,0.7496487920968902,0.0,5.800000000000001
AMGN|||COST,AMGN,COST,0.2894629990057465,0.1277246009712329,0.05807767115324496,0.6086882099138069,0.0,5.800000000000001
AMGN|||CPRT,AMGN,CPRT,0.17016027441036335,0.16698840248307747,-0.19688457265178452,0.5288855027864032,21.4,5.800000000000001
AMGN|||CRWD,AMGN,CRWD,0.040395392753986535,0.13546729280240574,-0.26554577595055345,0.3751883019444092,46.0,5.800000000000001
AMGN|||CSCO,AMGN,CSCO,0.2724736855421217,0.13338700591728817,-0.031601288179363446,0.5431974012901819,1.7999999999999998,5.800000000000001
AMGN|||CSGP,AMGN,CSGP,0.185644412187152,0.09635345779063458,-0.005232462081437997,0.41514044821329266,0.4,5.800000000000001
AMGN|||CSX,AMGN,CSX,0.24369507113970315,0.14834863549258775,-0.17678218553512454,0.46217942418947133,12.6,5.800000000000001
AMGN|||CTAS,AMGN,CTAS,0.2888055321959433,0.15297053160268506,-0.05196312542045055,0.5538558091816012,7.000000000000001,5.800000000000001
AMGN|||CTSH,AMGN,CTSH,0.27272512496269974,0.15171593309333387,-0.018465485523927492,0.6203036419259315,1.6,5.800000000000001
AMGN|||DASH,AMGN,DASH,0.098717382072086,0.14400440525260605,-0.15519521096799985,0.4510814532149396,27.400000000000002,5.800000000000001
AMGN|||DDOG,AMGN,DDOG,-0.00705614091794051,0.11278340478823384,-0.18101804280635872,0.3944537705107559,62.2,5.800000000000001
AMGN|||DXCM,AMGN,DXCM,0.16700907758213113,0.20783604355164834,-0.3689151209885657,0.5723399852055326,20.200000000000003,5.800000000000001
AMGN|||EA,AMGN,EA,0.22634109969496155,0.14981133108396957,-0.10866953752926321,0.5125473236274752,3.8,5.800000000000001
AMGN|||EXC,AMGN,EXC,0.296146684300013,0.1546614632504226,-0.11635244271334676,0.558726185950082,5.6000000000000005,5.800000000000001
AMGN|||FANG,AMGN,FANG,0.0783356519979633,0.11145018670522386,-0.14656889259403186,0.37005608112273086,21.2,5.800000000000001
AMGN|||FAST,AMGN,FAST,0.23989928134327912,0.1615308045943246,-0.1214590314390537,0.573341813241507,7.000000000000001,5.800000000000001
AMGN|||FTNT,AMGN,FTNT,0.12142039359255284,0.1924044411023484,-0.34728801239092405,0.3849724343764258,15.0,5.800000000000001
AMGN|||GEHC,AMGN,GEHC,0.07768959834090441,0.10199878654781723,-0.10295212620917887,0.2595106123201076,17.0,48.0
AMGN|||GFS,AMGN,GFS,0.16127886752930998,0.1578781007054735,-0.152605295344043,0.4923287990875259,19.6,5.800000000000001
AMGN|||GILD,AMGN,GILD,0.5433341801568461,0.09432340082658122,0.3562054676110327,0.8065859353270974,0.0,5.800000000000001
AMGN|||GOOG,AMGN,GOOG,0.21008159552356306,0.13456222098508633,-0.04499613707634221,0.5626468820487104,4.6,5.800000000000001
